Name,Link,Categories,PRicing,Platforms,Tags,Description
Archive,https://archive.org/,"Image, Music, Video",Free,,,"Web, Text, Audio, Video, TV, Software, Image, Concerts, Collections"
Wiki Commons,https://www.metmuseum.org/art/collection/search#!?showOnly=openAccess,"Image, Video",Free,,,
Met Museum of Art (Open Access),https://www.metmuseum.org/art/collection/search#!?showOnly=openAccess,Image,Free,,,Only Open Access
FreeImages,https://www.freeimages.com/,Image,Free,,,
Burst,https://burst.shopify.com/,Image,Free,,,
Moose,https://photos.icons8.com/,Image,Free,,,
CA Stock,https://www.ca-stock.com/,Image,Paid,,,
Kavewall,http://www.kavewall.com/stock/stock/index.html,Image,Free,,,
365 PSD,https://365psd.com/,"Image, Vector Graphics","Free, Paid",,,"Image, PSD, Vector"
Pixabay,https://pixabay.com/,"Image, Video",Free,,,
Novapattern,https://www.novapattern.com/,Texture,"Free, Paid",,,Patterns
DinPattern,http://www.dinpattern.com/,Texture,"Free, Paid",,,Patterns
Subtle Patterns,https://www.toptal.com/designers/subtlepatterns/,Texture,Free,,,Patterns
Openfootage,https://www.openfootage.net/,"Video, HDRI, Image, Model, Texture, ",Paid,,Attribution Required,
Mazwai,http://www.mazwai.com/,Video,Free,,Attribution Required,
Detonation Films,https://www.detonationfilms.com/missionstatement.htm,Video,"Free, Paid",,,
Incompetech,https://incompetech.com/,Music,"Free, Paid",,Attribution Required,
TeknoAxe,http://teknoaxe.com/Music_Code.php,Music,Free,,Attribution Required,
Icons8,https://icons8.com/music,Music,Free,,Attribution Required,
Free Music Archive,http://freemusicarchive.org/,Music,Free,,Attribution Required,Contact for permission may be required
Soundimage,http://soundimage.org/,"Image, Music",Free,,Attribution Required,
Musopen,https://musopen.org/,"Image, Music","Free, Paid",,,Also has Textbooks
IMSLP,https://imslp.org/,Music,Free,,Attribution Required,
FreePD,https://freepd.com/,Music,"Free, Paid",,,
SHW,http://en.shw.in/,Music,Free,,,
Freesound,https://freesound.org/,Music,Free,,Attribution Required,
PlayOnLoop,https://www.playonloop.com/,Music,"Free, Paid",,,
Bensound,https://www.bensound.com/,Music,"Free, Subscription",,"Attribution Required, Non-Commercial",
Modarchive,http://modarchive.org/index.php,Music,Free,,Attribution Required,Music (Modules)
PacDV,http://www.pacdv.com/sounds/index.html,SFX,Free,,,
Audionautix,https://audionautix.com/,Music,Free,,,
Purple Planet,https://www.purple-planet.com/,Music,Free,,Attribution Required,
ccMixter,http://ccmixter.org/,Music,Free,,Attribution Required,
Filmstro Music,https://filmstro.com/music,Music,"Free, Subscription",,,
Splice Sounds,https://splice.com/features/sounds,Music,"Trial, Subscription",,,
SoundClick,https://www.soundclick.com/,Music,"Free, Paid",,,
Alibi Music Library,https://www.alibimusiclibrary.com/,Music,Paid,,Licensed,
Anara Publishing,https://www.anarapublishing.com/,Music,Paid,,Licensed,
FMOD Studio,https://www.fmod.com/studio,SFX,"Free, Paid",,,
Wwise Audiokinetic,https://www.audiokinetic.com/products/wwise/,SFX,"Free, Paid",,,
Sonniss GDC 2015,https://sonniss.com/sound-effects/free-download-game-audio/,SFX,Free,,,sonniss.com/GameAudioGDCPart1.torrent
Sonniss GDC 2016,https://sonniss.com/gameaudiogdc2016/,SFX,Free,,,sonniss.com/GameAudioGDCPart2.torrent
Sonniss GDC 2017,https://sonniss.com/gameaudiogdc2017/,SFX,Free,,,sonniss.com/GameAudioGDCPart3.torrent
Sonniss GDC 2018,https://sonniss.com/gameaudiogdc18/,SFX,Free,,,https://sonniss.com/GameAudioGDCPart4.torrent
99 Sounds,http://99sounds.org,SFX,Free,,,SFX and VST Plug-ins
Octave,http://raisedbeaches.com/octave/,SFX,Free,,,SFX for UI
freeSFX,https://www.freesfx.co.uk/,SFX,Free,,,
NoiseForFun,https://www.noiseforfun.com/,SFX,Free,,,
Sound Jay,https://www.soundjay.com/,SFX,Free,,,
Zapsplat,https://www.zapsplat.com/,"SFX, Music",Free,,Attribution Required,
Soundly,http://getsoundly.com/,SFX,"Free, Subscription",,,SFX Platforms
GameSounds.xyz,https://gamesounds.xyz/,SFX,Free,,,
Kongano,https://kongano.com/,Music,Free,,Attribution Required,
Shaping Waves,https://www.shapingwaves.com/,SFX,Paid,,,
Still North Media,https://www.stillnorthmedia.com/libraries/,SFX,Free,,,
Unminus,https://www.unminus.com/,Music,Free,,,
A Sound Effect,https://www.asoundeffect.com/1000-free-sound-effects/,SFX,Free,,,
The Sound Pack Tree,https://thesoundpacktree.com/pages/sound-packs,SFX,Paid,,,
Tone Deck,https://www.tonedock.com/,SFX,Free,,Attribution Required,
boom Library,https://www.boomlibrary.com/,SFX,"Free, Paid",,,
Gamemaster Audio,https://www.gamemasteraudio.com/,SFX,Paid,,,
