Name,Link,Categories,Pricing,Platforms,Tags,Description
Global Game Jam,https://globalgamejam.org/,Jam,Free,Web,,
Ludum Dare,https://ldjam.com/,Jam,Free,Web,,
Game Maker's Toolkit Jam,https://gmtk.itch.io/,Jam,Free,Web,,
Itch.io game Jams,https://itch.io/jams,Hosting,Free,Web,,
Game Jolt Jams,http://jams.gamejolt.com/browse/active,Hosting,Free,Web,,
Epic Jams,https://forums.unrealengine.com/unreal-engine/events?filter_prefix=ue_events_gamejam,Jam,Free,Web,,
GameMaker Community Jam,https://forum.yoyogames.com/index.php?forums/gmc-jam.9/,Jam,Free,Web,,
Indie Game Jams,http://www.indiegamejams.com/,Jam,Free,Web,,
Train Jam,http://trainjam.com/,Jam,Paid,Web,,
