Name,Link,Categories,Pricing,Platforms,Tags,Description
Another Tongue,https://anothertongue.com/,Voice Acting,,,,
Babble,https://babblevoices.com/,Voice Acting,,,,
Chatterbox Voices,http://www.chatterboxvoices.co.uk/,Voice Acting,,,,
Just Voices Agency,https://www.justvoicesagency.com/,Voice Acting,,,,
Lip Service,https://lipservice.co.uk/,Voice Acting,,,,
Liquid Violet,https://liquidviolet.co.uk/,Voice Acting,,,,
SIDE,http://www.side.com/,Voice Acting,,,,
Soho Voices,https://sohovoices.co.uk/,Voice Acting,,,,
The Jonses Voice Agency,https://www.meetthejoneses.co.uk/,Voice Acting,,,,
Voicefox,https://www.voicefox.co.uk/,Voice Acting,,,,
Yakety Yak,http://www.yaketyyak.co.uk/,Voice Acting,,,,
Lionbridge,https://www.lionbridge.com/,Localization,,,,
TranslationBunny,https://bunnyinc.com/translation/,Localization,,,,
Jonkers,https://www.jonckers.com/,Localization,,,,
OneSky,https://www.oneskyapp.com/,Localization,,,,
Localize Direct,https://www.localizedirect.com/,Localization,,,,
Lanzillotta Translations,http://www.lanzillotta-translations.de/en/home/,Localization,,,,
Level Up Translation,https://www.leveluptranslation.com/contact-us,Localization,,,,
Marc Eybert-Guillon,https://www.eybertguillontranslation.com/,Localization,,,,
Tansfluent,https://www.transfluent.com/gaming,Localization,,,,
Terra Localizations,https://terralocalizations.com/,Localization,,,,
WritingBunny,https://bunnyinc.com/writing/,Writing,,,,
Morrison Rothman,https://morrisonrothman.com/,Legal,,,,
Purewal and Partners,https://www.purewalandpartners.com/,Legal,,,,Europe
Sheridans,https://www.sheridans.co.uk/sectors/computer-games/,Legal,,,,UK
Incredibuild,https://www.incredibuild.com/,Network,,,Game Build Solution,
Improbable,https://improbable.io/,Network,,,"Consulting, Outsourcing",Multiplayer Consulting and Operation Services
Multiplay,https://multiplay.com/,Network,,,"Consulting, Outsourcing",Multiplayer Consulting and Operation Services
NetworkNext,https://networknext.com/,Network,,,Network Performance Booster,
EdgeGap,https://www.edgegap.com/,Network,"","",Network Performance Booster,""
Abstraction Games,https://abstractiongames.com/,Development,,,"Outsourcing, Porting",
Armature,http://armature.com/,Development,,,,
Asobo Studio,http://www.asobostudio.com/,Development,,,,
Atomhawk,http://atomhawk.com/,Development,,,Cinematics,
Axis Animation,http://www.axisanimation.com/,Development,,,Cinematics,
Bad Rhino Games,https://www.badrhinogames.com/,Development,,,,
Big Red Button,http://brbent.com/,Development,,,,
BKOM Studios,https://www.bkomstudios.com/,Development,,,,
Certain Affinity,http://www.certainaffinity.com/,Development,,,,
